Label,Flow Duration,Total Fwd Packets,Flow Bytes/s,SYN Flag Count,anomaly_score_norm
BENIGN,89743898,47176,1549536.27,0,0.9298796783762444
BENIGN,2275709,8304,8826579.76,0,0.9260287130793201
BENIGN,116887026,177,4898.93549,1,0.9254128687127641
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
DoS Slowhttptest,2,1,992000000.0,1,0.9232116913859507
BENIGN,3599938,6077,4634330.647,0,0.9221216745263691
BENIGN,119850007,1142,25399.59802,0,0.919388019626215
BENIGN,5082589,9437,4612818.388,0,0.9193454087294999
BENIGN,119700190,1092,24604.29679,0,0.9188071048153785
BENIGN,119835540,968,21592.76789,0,0.9187209462720669
BENIGN,119096680,1107,24725.3072,0,0.9171714627299656
BENIGN,119893317,974,21795.76031,0,0.9171577311144028
BENIGN,118360672,945,21763.08191,0,0.9170655390346698
BENIGN,118279772,937,21770.75553,0,0.9170655390346698
BENIGN,119978399,999,21755.6662,0,0.9163435183675673
BENIGN,9428381,7682,2143600.688,0,0.9157787313171253
BENIGN,119598315,756,16383.19068,0,0.9154178384000818
BENIGN,3825796,5332,3816623.26,0,0.9140435988825095
BENIGN,117405314,782,18901.36762,0,0.9126775990673756
BENIGN,12773406,8725,1412532.804,0,0.9125192536495625
BENIGN,119377759,1087,21019.3676,0,0.9099113643822053
BENIGN,119261731,883,19221.32926,0,0.9099113643822053
BENIGN,118850783,573,17009.26951,0,0.9078824110222972
BENIGN,119470051,632,13459.9591,0,0.9073848969811272
BENIGN,1,2,617000000.0,1,0.907155043543166
BENIGN,1,2,617000000.0,1,0.907155043543166
BENIGN,1,2,617000000.0,1,0.907155043543166
BENIGN,1,2,617000000.0,1,0.907155043543166
BENIGN,1,2,617000000.0,1,0.907155043543166
BENIGN,1,2,617000000.0,1,0.907155043543166
BENIGN,1,2,617000000.0,1,0.907155043543166
BENIGN,1,2,617000000.0,1,0.907155043543166
BENIGN,1,2,617000000.0,1,0.907155043543166
